lemma,poscode,surface
ampicillin sodium and sulbactam sodium,3,ampicillin sodium and sulbactam sodium
piperacillin,3,piperacillin
penicillin g,3,penicillin g
penicillin v,3,penicillin v
dicloxacillin,3,dicloxacillin
nafcillin,3,nafcillin
oxacillin,3,oxacillin
aztreonam,3,aztreonam
doripenem,3,doripenem
ertapenem,3,ertapenem
imipenem and cilastatin sodium,3,imipenem and cilastatin sodium
meropenem,3,meropenem
azithromycin,3,azithromycin
clarithromycin,3,clarithromycin
erythromycin,3,erythromycin
fidaxomicin,3,fidaxomicin
telithromycin,3,telithromycin
besifloxacin,3,besifloxacin
ciprofloxacin,3,ciprofloxacin
gatifloxacin,3,gatifloxacin
gemifloxacin,3,gemifloxacin
levofloxacin,3,levofloxacin
moxifloxacin,3,moxifloxacin
norfloxacin,3,norfloxacin
ofloxacin,3,ofloxacin
sulfacetamide,3,sulfacetamide
sulfadiazine,3,sulfadiazine
sulfamethoxazole and trimethoprim,3,sulfamethoxazole and trimethoprim
demeclocycline,3,demeclocycline
doxycycline,3,doxycycline
minocycline,3,minocycline
tetracycline,3,tetracycline
trimethoprim,3,trimethoprim
vancomycin,3,vancomycin
clindamycin,3,clindamycin
lincomycin,3,lincomycin
nitrofurantoin,3,nitrofurantoin
linezolid,3,linezolid
acetic acid,3,acetic acid
bacitracin,3,bacitracin
chloramphenicol,3,chloramphenicol
daptomycin,3,daptomycin
fosfomycin,3,fosfomycin
gramicidin,3,gramicidin
mafenide,3,mafenide
methenamine,3,methenamine
metronidazole,3,metronidazole
mupirocin,3,mupirocin
polymyxin b,3,polymyxin b
retapamulin,3,retapamulin
rifaximin,3,rifaximin
telavancin,3,telavancin
tinidazole,3,tinidazole
tigecycline,3,tigecycline
ethosuximide,3,ethosuximide
methsuximide,3,methsuximide
pregabalin,3,pregabalin
zonisamide,3,zonisamide
clobazam,3,clobazam
clonazepam,3,clonazepam
clorazepate,3,clorazepate
diazepam,3,diazepam
lorazepam,3,lorazepam
mephobarbital,3,mephobarbital
primidone,3,primidone
divalproex,3,divalproex
gabapentin,3,gabapentin
tiagabine,3,tiagabine
valproate,3,valproate
vigabatrin,3,vigabatrin
felbamate,3,felbamate
lamotrigine,3,lamotrigine
perampanel,3,perampanel
topiramate,3,topiramate
carbamazepine,3,carbamazepine
eslicarbazepine,3,eslicarbazepine
ethotoin,3,ethotoin
fosphenytoin,3,fosphenytoin
lacosamide,3,lacosamide
oxcarbazepine,3,oxcarbazepine
phenytoin,3,phenytoin
rufinamide,3,rufinamide
levetiracetam,3,levetiracetam
ezogabine,3,ezogabine
donepezil,3,donepezil
galantamine,3,galantamine
rivastigmine,3,rivastigmine
memantine,3,memantine
ergoloid mesylates,3,ergoloid mesylates
phenelzine,3,phenelzine
selegiline,3,selegiline
tranylcypromine,3,tranylcypromine
citalopram,3,citalopram
desvenlafaxine,3,desvenlafaxine
duloxetine,3,duloxetine
escitalopram,3,escitalopram
fluoxetine,3,fluoxetine
fluvoxamine,3,fluvoxamine
levomilnacipran,3,levomilnacipran
maprotiline,3,maprotiline
nefazodone,3,nefazodone
paroxetine,3,paroxetine
sertraline,3,sertraline
trazodone,3,trazodone
venlafaxine,3,venlafaxine
vilazodone,3,vilazodone
vortioxetine,3,vortioxetine
amitriptyline,3,amitriptyline
amoxapine,3,amoxapine
clomipramine,3,clomipramine
desipramine,3,desipramine
doxepin,3,doxepin
imipramine,3,imipramine
nortriptyline,3,nortriptyline
protriptyline,3,protriptyline
trimipramine,3,trimipramine
mirtazapine,3,mirtazapine
aripiprazole,3,aripiprazole
quetiapine,3,quetiapine
dolasetron,3,dolasetron
granisetron,3,granisetron
ondansetron,3,ondansetron
palonosetron,3,palonosetron
aprepitant,3,aprepitant
nabilone,3,nabilone
dronabinol,3,dronabinol
chlorpromazine,3,chlorpromazine
diphenhydramine,3,diphenhydramine
doxylamine succinate/pyridoxine hydrochloride,3,doxylamine succinate/pyridoxine hydrochloride
hydroxyzine,3,hydroxyzine
meclizine,3,meclizine
metoclopramide,3,metoclopramide
perphenazine,3,perphenazine
prochlorperazine,3,prochlorperazine
promethazine,3,promethazine
scopolamine,3,scopolamine
trimethobenzamide,3,trimethobenzamide
dihydroergotamine,3,dihydroergotamine
ergotamine,3,ergotamine
almotriptan,3,almotriptan
eletriptan,3,eletriptan
frovatriptan,3,frovatriptan
naratriptan,3,naratriptan
rizatriptan,3,rizatriptan
sumatriptan,3,sumatriptan
zolmitriptan,3,zolmitriptan
timolol,3,timolol
ambenonium,3,ambenonium
pyridostigmine,3,pyridostigmine
bedaquiline,3,bedaquiline
capreomycin,3,capreomycin
cycloserine,3,cycloserine
ethambutol,3,ethambutol
ethionamide,3,ethionamide
isoniazid,3,isoniazid
pyrazinamide,3,pyrazinamide
rifampin,3,rifampin
rifapentine,3,rifapentine
dapsone,3,dapsone
rifabutin,3,rifabutin
altretamine,3,altretamine
chlorambucil,3,chlorambucil
mechlorethamine,3,mechlorethamine
melphalan,3,melphalan
lomustine,3,lomustine
busulfan,3,busulfan
cyclophosphamide,3,cyclophosphamide
procarbazine,3,procarbazine
enzalutamide,3,enzalutamide
bicalutamide,3,bicalutamide
flutamide,3,flutamide
nilutamide,3,nilutamide
abiraterone,3,abiraterone
lenalidomide,3,lenalidomide
pomalidomide,3,pomalidomide
thalidomide,3,thalidomide
estramustine,3,estramustine
tamoxifen,3,tamoxifen
toremifene,3,toremifene
mercaptopurine,3,mercaptopurine
thioguanine,3,thioguanine
hydroxyurea,3,hydroxyurea
anastrozole,3,anastrozole
exemestane,3,exemestane
letrozole,3,letrozole
etoposide,3,etoposide
topotecan,3,topotecan
vemurafenib,3,vemurafenib
dabrafenib,3,dabrafenib
trametinib,3,trametinib
ibrutinib,3,ibrutinib
afatinib,3,afatinib
erlotinib,3,erlotinib
vismodegib,3,vismodegib
ruxolitinib,3,ruxolitinib
everolimus,3,everolimus
crizotinib,3,crizotinib
bosutinib,3,bosutinib
dasatinib,3,dasatinib
imatinib,3,imatinib
nilotinib,3,nilotinib
ponatinib,3,ponatinib
lapatinib,3,lapatinib
axitinib,3,axitinib
cabozantinib,3,cabozantinib
pazopanib,3,pazopanib
regorafenib,3,regorafenib
sorafenib,3,sorafenib
sunitinib,3,sunitinib
rituximab,3,rituximab
ofatumumab,3,ofatumumab
alitretinoin,3,alitretinoin
bexarotene,3,bexarotene
tretinoin,3,tretinoin
fludarabine,3,fludarabine
leucovorin,3,leucovorin
mitoxantrone,3,mitoxantrone
vorinostat,3,vorinostat
albendazole,3,albendazole
ivermectin,3,ivermectin
mebendazole,3,mebendazole
praziquantel,3,praziquantel
artemether and lumefantrine,3,artemether and lumefantrine
atovaquone and proguanil hydrochloride,3,atovaquone and proguanil hydrochloride
chloroquine,3,chloroquine
hydroxychloroquine,3,hydroxychloroquine
mefloquine,3,mefloquine
primaquine,3,primaquine
pyrimethamine,3,pyrimethamine
quinine,3,quinine
atovaquone,3,atovaquone
nitazoxanide,3,nitazoxanide
pentamidine,3,pentamidine
benzyl alcohol,3,benzyl alcohol
crotamiton,3,crotamiton
lindane,3,lindane
malathion,3,malathion
permethrin,3,permethrin
spinosad,3,spinosad
benztropine,3,benztropine
trihexyphenidyl,3,trihexyphenidyl
apomorphine,3,apomorphine
bromocriptine,3,bromocriptine
pramipexole,3,pramipexole
ropinirole,3,ropinirole
rotigotine,3,rotigotine
carbidopa,3,carbidopa
carbidopa and levodopa,3,carbidopa and levodopa
rasagiline,3,rasagiline
entacapone,3,entacapone
tolcapone,3,tolcapone
amantadine,3,amantadine
fluphenazine,3,fluphenazine
haloperidol,3,haloperidol
loxapine,3,loxapine
pimozide,3,pimozide
thioridazine,3,thioridazine
thiothixene,3,thiothixene
trifluoperazine,3,trifluoperazine
asenapine,3,asenapine
iloperidone,3,iloperidone
lurasidone,3,lurasidone
olanzapine,3,olanzapine
paliperidone,3,paliperidone
risperidone,3,risperidone
ziprasidone,3,ziprasidone
clozapine,3,clozapine
cidofovir,3,cidofovir
foscarnet,3,foscarnet
ganciclovir,3,ganciclovir
valganciclovir,3,valganciclovir
adefovir,3,adefovir
entecavir,3,entecavir
lamivudine,3,lamivudine
ribavirin,3,ribavirin
telbivudine,3,telbivudine
tenofovir,3,tenofovir
"interferon alfa-2b, recombinant",3,"interferon alfa-2b, recombinant"
interferon alfa-n3,3,interferon alfa-n4
peginterferon alfa-2a,3,peginterferon alfa-2a
peginterferon alfa-2b,3,peginterferon alfa-2b
interferon alfacon-1,3,interferon alfacon-2
boceprevir,3,boceprevir
simeprevir,3,simeprevir
telaprevir,3,telaprevir
sofosbuvir,3,sofosbuvir
acyclovir,3,acyclovir
famciclovir,3,famciclovir
idoxuridine,3,idoxuridine
trifluridine,3,trifluridine
penciclovir,3,penciclovir
valacyclovir,3,valacyclovir
delavirdine,3,delavirdine
efavirenz,3,efavirenz
etravirine,3,etravirine
nevirapine,3,nevirapine
rilpivirine,3,rilpivirine
abacavir,3,abacavir
abacavir and lamivudine,3,abacavir and lamivudine
didanosine,3,didanosine
emtricitabine,3,emtricitabine
emtricitabine and tenofovir,3,emtricitabine and tenofovir
lamivudine and zidovudine,3,lamivudine and zidovudine
stavudine,3,stavudine
zidovudine,3,zidovudine
atazanavir,3,atazanavir
darunavir,3,darunavir
fosamprenavir,3,fosamprenavir
indinavir,3,indinavir
lopinavir and ritonavir,3,lopinavir and ritonavir
nelfinavir,3,nelfinavir
ritonavir,3,ritonavir
saquinavir,3,saquinavir
tipranavir,3,tipranavir
dolutegravir,3,dolutegravir
raltegravir,3,raltegravir
enfuvirtide,3,enfuvirtide
maraviroc,3,maraviroc
oseltamivir,3,oseltamivir
rimantadine,3,rimantadine
zanamivir,3,zanamivir
alprazolam,3,alprazolam
chlordiazepoxide,3,chlordiazepoxide
oxazepam,3,oxazepam
buspirone,3,buspirone
meprobamate,3,meprobamate
lithium,3,lithium
acarbose,3,acarbose
miglitol,3,miglitol
pramlintide,3,pramlintide
metformin,3,metformin
colesevelam,3,colesevelam
alogliptin,3,alogliptin
linagliptin,3,linagliptin
saxagliptin,3,saxagliptin
sitagliptin,3,sitagliptin
exenatide,3,exenatide
liraglutide,3,liraglutide
nateglinide,3,nateglinide
repaglinide,3,repaglinide
canagliflozin,3,canagliflozin
chlorpropamide,3,chlorpropamide
glimepiride,3,glimepiride
glipizide,3,glipizide
glyburide,3,glyburide
tolazamide,3,tolazamide
tolbutamide,3,tolbutamide
pioglitazone,3,pioglitazone
rosiglitazone,3,rosiglitazone
diazoxide,3,diazoxide
glucagon,3,glucagon
insulin aspart,3,insulin aspart
insulin glulisine,3,insulin glulisine
insulin lispro,3,insulin lispro
insulin human (regular),3,insulin human (regular)
isophane insulin (human),3,isophane insulin (human)
insulin detemir,3,insulin detemir
insulin glargine,3,insulin glargine
dabigatran,3,dabigatran
apixaban,3,apixaban
rivaroxaban,3,rivaroxaban
fondaparinux,3,fondaparinux
dalteparin,3,dalteparin
enoxaparin,3,enoxaparin
warfarin,3,warfarin
filgrastim,3,filgrastim
pegfilgrastim,3,pegfilgrastim
sargramostim,3,sargramostim
darbepoetin alfa,3,darbepoetin alfa
epoetin alfa,3,epoetin alfa
anagrelide,3,anagrelide
eltrombopag olamine,3,eltrombopag olamine
romiplostim,3,romiplostim
plerixafor,3,plerixafor
tranexamic acid,3,tranexamic acid
clopidogrel,3,clopidogrel
prasugrel,3,prasugrel
ticlopidine,3,ticlopidine
ticagrelor,3,ticagrelor
dipyridamole,3,dipyridamole
cilostazol,3,cilostazol
clonidine,3,clonidine
guanfacine,3,guanfacine
methyldopa,3,methyldopa
methyldopate,3,methyldopate
midodrine,3,midodrine
phenylephrine,3,phenylephrine
doxazosin,3,doxazosin
phenoxybenzamine,3,phenoxybenzamine
prazosin,3,prazosin
terazosin,3,terazosin
benazepril,3,benazepril
captopril,3,captopril
enalapril,3,enalapril
fosinopril,3,fosinopril
lisinopril,3,lisinopril
moexipril,3,moexipril
perindopril,3,perindopril
quinapril,3,quinapril
ramipril,3,ramipril
trandolapril,3,trandolapril
azilsartan,3,azilsartan
candesartan,3,candesartan
eprosartan,3,eprosartan
irbesartan,3,irbesartan
losartan,3,losartan
olmesartan,3,olmesartan
telmisartan,3,telmisartan
valsartan,3,valsartan
amiodarone,3,amiodarone
disopyramide,3,disopyramide
dofetilide,3,dofetilide
dronedarone,3,dronedarone
flecainide,3,flecainide
mexiletine,3,mexiletine
procainamide,3,procainamide
propafenone,3,propafenone
quinidine,3,quinidine
sotalol,3,sotalol
acebutolol,3,acebutolol
atenolol,3,atenolol
betaxolol,3,betaxolol
bisoprolol,3,bisoprolol
carvedilol,3,carvedilol
labetalol,3,labetalol
metoprolol,3,metoprolol
nadolol,3,nadolol
nebivolol,3,nebivolol
penbutolol,3,penbutolol
pindolol,3,pindolol
propranolol,3,propranolol
amlodipine,3,amlodipine
felodipine,3,felodipine
isradipine,3,isradipine
nicardipine,3,nicardipine
nifedipine,3,nifedipine
nimodipine,3,nimodipine
nisoldipine,3,nisoldipine
diltiazem,3,diltiazem
verapamil,3,verapamil
acetazolamide,3,acetazolamide
methazolamide,3,methazolamide
bumetanide,3,bumetanide
ethacrynate/ethacrynic acid,3,ethacrynate/ethacrynic acid
furosemide,3,furosemide
torsemide,3,torsemide
amiloride,3,amiloride
eplerenone,3,eplerenone
spironolactone,3,spironolactone
triamterene,3,triamterene
bendroflumethiazide,3,bendroflumethiazide
chlorothiazide,3,chlorothiazide
chlorthalidone,3,chlorthalidone
hydrochlorothiazide,3,hydrochlorothiazide
indapamide,3,indapamide
methyclothiazide,3,methyclothiazide
metolazone,3,metolazone
choline fenofibrate,3,choline fenofibrate
fenofibrate/fenofibric acid,3,fenofibrate/fenofibric acid
gemfibrozil,3,gemfibrozil
atorvastatin,3,atorvastatin
fluvastatin,3,fluvastatin
lovastatin,3,lovastatin
pitavastatin,3,pitavastatin
pravastatin,3,pravastatin
rosuvastatin,3,rosuvastatin
simvastatin,3,simvastatin
cholestyramine,3,cholestyramine
colestipol,3,colestipol
ezetimibe,3,ezetimibe
icosapent ethyl,3,icosapent ethyl
lomitapide,3,lomitapide
mipomersen,3,mipomersen
niacin,3,niacin
omega-3-acid ethyl esters,3,omega-3-acid ethyl esters
hydralazine,3,hydralazine
minoxidil,3,minoxidil
isosorbide dinitrate,3,isosorbide dinitrate
isosorbide mononitrate,3,isosorbide mononitrate
nitroglycerin,3,nitroglycerin
aliskiren,3,aliskiren
digoxin,3,digoxin
pentoxifylline,3,pentoxifylline
ranolazine,3,ranolazine
dextroamphetamine,3,dextroamphetamine
lisdexamfetamine,3,lisdexamfetamine
methamphetamine,3,methamphetamine
atomoxetine,3,atomoxetine
dexmethylphenidate,3,dexmethylphenidate
methylphenidate,3,methylphenidate
milnacipran,3,milnacipran
interferon beta-1a,3,interferon beta-1a
interferon beta-1b,3,interferon beta-1b
dalfampridine,3,dalfampridine
teriflunomide,3,teriflunomide
fingolimod,3,fingolimod
dimethyl fumarate,3,dimethyl fumarate
glatiramer,3,glatiramer
natalizumab,3,natalizumab
gabapentin enacarbil,3,gabapentin enacarbil
tetrabenazine,3,tetrabenazine
riluzole,3,riluzole
dextromethorphan/quinidine,3,dextromethorphan/quinidine
atropine,3,atropine
dicyclomine,3,dicyclomine
glycopyrrolate,3,glycopyrrolate
mepenzolate,3,mepenzolate
methscopolamine,3,methscopolamine
cimetidine,3,cimetidine
famotidine,3,famotidine
nizatidine,3,nizatidine
ranitidine,3,ranitidine
alosetron,3,alosetron
linaclotide,3,linaclotide
lubiprostone,3,lubiprostone
lactulose,3,lactulose
misoprostol,3,misoprostol
sucralfate,3,sucralfate
dexlansoprazole,3,dexlansoprazole
esomeprazole,3,esomeprazole
lansoprazole,3,lansoprazole
omeprazole,3,omeprazole
pantoprazole,3,pantoprazole
rabeprazole,3,rabeprazole
alvimopan,3,alvimopan
crofelemer,3,crofelemer
diphenoxylate hydrochloride and atropine sulfate,3,diphenoxylate hydrochloride and atropine sulfate
loperamide,3,loperamide
methylnaltrexone,3,methylnaltrexone
ursodiol,3,ursodiol
glutamine,3,glutamine
somatropin,3,somatropin
teduglutide,3,teduglutide
mirabegron,3,mirabegron
darifenacin,3,darifenacin
fesoterodine,3,fesoterodine
flavoxate,3,flavoxate
oxybutynin,3,oxybutynin
solifenacin,3,solifenacin
tolterodine,3,tolterodine
trospium,3,trospium
alfuzosin,3,alfuzosin
silodosin,3,silodosin
tamsulosin,3,tamsulosin
dutasteride,3,dutasteride
finasteride,3,finasteride
tadalafil,3,tadalafil
calcium acetate,3,calcium acetate
lanthanum,3,lanthanum
sevelamer,3,sevelamer
bethanechol,3,bethanechol
penicillamine,3,penicillamine
pentosan polysulfate,3,pentosan polysulfate
oxandrolone,3,oxandrolone
danazol,3,danazol
fluoxymesterone,3,fluoxymesterone
methyltestosterone,3,methyltestosterone
testosterone,3,testosterone
estradiol,3,estradiol
"estrogens, conjugated",3,"estrogens, conjugated"
"estrogens, conjugated synthetic",3,"estrogens, conjugated synthetic"
"estrogens, esterified",3,"estrogens, esterified"
estrone,3,estrone
estropipate,3,estropipate
ethinyl estradiol,3,ethinyl estradiol
ulipristal,3,ulipristal
levonorgestrel,3,levonorgestrel
medroxyprogesterone,3,medroxyprogesterone
megestrol,3,megestrol
norethindrone,3,norethindrone
norgestrel,3,norgestrel
progesterone,3,progesterone
raloxifene,3,raloxifene
ospemifene,3,ospemifene
methimazole,3,methimazole
propylthiouracil,3,propylthiouracil
icatibant,3,icatibant
mycophenolic acid,3,mycophenolic acid
tacrolimus,3,tacrolimus
cyclosporine,3,cyclosporine
tofacitinib,3,tofacitinib
sirolimus,3,sirolimus
abatacept,3,abatacept
anakinra,3,anakinra
methotrexate,3,methotrexate
pimecrolimus,3,pimecrolimus
azathioprine,3,azathioprine
adalimumab,3,adalimumab
certolizumab pegol,3,certolizumab pegol
etanercept,3,etanercept
golimumab,3,golimumab
infliximab,3,infliximab
anti-thymocyte globulin,3,anti-thymocyte globulin
immune globulin intravenous (human),3,immune globulin intravenous (human)
belimumab,3,belimumab
"interferon gamma-1b, recombinant",3,"interferon gamma-1b, recombinant"
canakinumab,3,canakinumab
rilonacept,3,rilonacept
tocilizumab,3,tocilizumab
auranofin,3,auranofin
leflunomide,3,leflunomide
diphtheria and tetanus toxoids adsorbed (dt),3,diphtheria and tetanus toxoids adsorbed (dt)
diphtheria and tetanus toxoids and acellular pertussis vaccine adsorbed (dtap),3,diphtheria and tetanus toxoids and acellular pertussis vaccine adsorbed (dtap)
diphtheria and tetanus toxoids and acellular pertussis absorbed and inactivated poliovirus (dtap-ipv) vaccine,3,diphtheria and tetanus toxoids and acellular pertussis absorbed and inactivated poliovirus (dtap-ipv) vaccine
haemophilus b conjugate vaccine,3,haemophilus b conjugate vaccine
hepatitis b virus vaccine recombinant,3,hepatitis b virus vaccine recombinant
japanese encephalitis virus vaccine inactivated,3,japanese encephalitis virus vaccine inactivated
measles virus vaccine live,3,measles virus vaccine live
meningococcal polysaccharide vaccine,3,meningococcal polysaccharide vaccine
human papillomavirus bivalent (type 16 and 18) vaccine recombinant,3,human papillomavirus bivalent (type 16 and 18) vaccine recombinant
"human papillomavirus quadrivalent (types 6, 11, 16 and 18) vaccine recombinant",3,"human papillomavirus quadrivalent (types 6, 11, 16 and 18) vaccine recombinant"
poliovirus vaccine inactivated,3,poliovirus vaccine inactivated
rabies vaccine,3,rabies vaccine
rubella virus vaccine,3,rubella virus vaccine
tetanus toxoid,3,tetanus toxoid
tetanus toxoid adsorbed,3,tetanus toxoid adsorbed
typhoid vaccine live oral,3,typhoid vaccine live oral
varicella virus vaccine,3,varicella virus vaccine
yellow fever vaccine,3,yellow fever vaccine
betamethasone,3,betamethasone
budesonide,3,budesonide
cortisone,3,cortisone
dexamethasone,3,dexamethasone
hydrocortisone,3,hydrocortisone
methylprednisolone,3,methylprednisolone
prednisolone,3,prednisolone
prednisone,3,prednisone
triamcinolone,3,triamcinolone
balsalazide,3,balsalazide
mesalamine,3,mesalamine
olsalazine,3,olsalazine
sulfasalazine,3,sulfasalazine
azelastine,3,azelastine
bepotastine,3,bepotastine
cromolyn,3,cromolyn
emedastine,3,emedastine
epinastine,3,epinastine
lodoxamide,3,lodoxamide
nedocromil,3,nedocromil
olopatadine,3,olopatadine
apraclonidine,3,apraclonidine
brimonidine,3,brimonidine
dipivefrin,3,dipivefrin
carteolol,3,carteolol
levobunolol,3,levobunolol
metipranolol,3,metipranolol
brinzolamide,3,brinzolamide
dorzolamide,3,dorzolamide
echothiophate,3,echothiophate
pilocarpine,3,pilocarpine
difluprednate,3,difluprednate
fluocinolone,3,fluocinolone
loteprednol,3,loteprednol
rimexolone,3,rimexolone
bromfenac,3,bromfenac
nepafenac,3,nepafenac
bimatoprost,3,bimatoprost
latanoprost,3,latanoprost
tafluprost,3,tafluprost
travoprost,3,travoprost
hydroxypropyl cellulose,3,hydroxypropyl cellulose
naphazoline,3,naphazoline
cetirizine,3,cetirizine
desloratadine,3,desloratadine
levocetirizine,3,levocetirizine
carbinoxamine,3,carbinoxamine
clemastine,3,clemastine
cyproheptadine,3,cyproheptadine
beclomethasone,3,beclomethasone
ciclesonide,3,ciclesonide
flunisolide,3,flunisolide
fluticasone,3,fluticasone
mometasone,3,mometasone
montelukast,3,montelukast
zafirlukast,3,zafirlukast
zileuton,3,zileuton
aclidinium,3,aclidinium
ipratropium,3,ipratropium
tiotropium,3,tiotropium
albuterol,3,albuterol
arformoterol,3,arformoterol
ephedrine,3,ephedrine
epinephrine,3,epinephrine
formoterol,3,formoterol
indacaterol,3,indacaterol
levalbuterol,3,levalbuterol
metaproterenol,3,metaproterenol
salmeterol,3,salmeterol
terbutaline,3,terbutaline
ivacaftor,3,ivacaftor
tobramycin dry-powder inhaler,3,tobramycin dry-powder inhaler
aminophylline,3,aminophylline
dyphylline,3,dyphylline
theophylline,3,theophylline
roflumilast,3,roflumilast
ambrisentan,3,ambrisentan
bosentan,3,bosentan
macitentan,3,macitentan
sildenafil,3,sildenafil
epoprostenol,3,epoprostenol
iloprost,3,iloprost
treprostinil,3,treprostinil
riociguat,3,riociguat
acetylcysteine,3,acetylcysteine
budesonide/formoterol fumarate,3,budesonide/formoterol fumarate
fluticasone furoate/vilanterol trifenatate,3,fluticasone furoate/vilanterol trifenatate
fluticasone propionate/salmeterol,3,fluticasone propionate/salmeterol
tetrahydrozoline,3,tetrahydrozoline
flurazepam,3,flurazepam
temazepam,3,temazepam
eszopiclone,3,eszopiclone
zaleplon,3,zaleplon
zolpidem,3,zolpidem
armodafinil,3,armodafinil
modafinil,3,modafinil
ramelteon,3,ramelteon
sodium oxybate,3,sodium oxybate
deferasirox,3,deferasirox
deferiprone,3,deferiprone
sodium polystyrene sulfonate,3,sodium polystyrene sulfonate
succimer,3,succimer
tolvaptan,3,tolvaptan
trientine,3,trientine
ammonium,3,ammonium
carglumic acid,3,carglumic acid
chromic,3,chromic
fluoride,3,fluoride
magnesium,3,magnesium
manganese,3,manganese
potassium,3,potassium
potassium citrate and sodium citrate,3,potassium citrate and sodium citrate
selenium,3,selenium
sodium,3,sodium
diclofenac potassium,3,diclofenac potassium
diclofenac sodium,3,diclofenac sodium
diclofenac diethylamine,3,diclofenac diethylamine
diclofenac hydroxyethylpyrrolidine,3,diclofenac hydroxyethylpyrrolidine
diclofenac calcium,3,diclofenac calcium
fenoprofen calcium,3,fenoprofen calcium
flurbiprofen axetil,3,flurbiprofen axetil
flurbiprofen sodium,3,flurbiprofen sodium
esflurbiprofen,3,esflurbiprofen
ibuprofen piconol,3,ibuprofen piconol
ibuprofen aluminum,3,ibuprofen aluminum
ibuprofen lysine,3,ibuprofen lysine
ibuprofen arginine salt,3,ibuprofen arginine salt
ibuprofen sodium,3,ibuprofen sodium
indomethacin sodium,3,indomethacin sodium
ketoprofen lysine,3,ketoprofen lysine
ketoprofen sodium,3,ketoprofen sodium
ketorolac tromethamine,3,ketorolac tromethamine
meclofenamic acid,3,meclofenamic acid
meclofenamate sodium,3,meclofenamate sodium
naproxen sodium,3,naproxen sodium
naproxen etemesil,3,naproxen etemesil
piroxicam betadex,3,piroxicam betadex
piroxicam cinnamate,3,piroxicam cinnamate
piroxicam olamine,3,piroxicam olamine
tolmetin sodium,3,tolmetin sodium
hydromorphone hydrochloride,3,hydromorphone hydrochloride
fentanyl citrate,3,fentanyl citrate
levorphanol tartrate,3,levorphanol tartrate
methadone hydrochloride,3,methadone hydrochloride
morphine sulfate,3,morphine sulfate
morphine hydrochloride hydrate,3,morphine hydrochloride hydrate
morphine tartrate,3,morphine tartrate
oxycodone hydrochloride,3,oxycodone hydrochloride
compound oxycodone,3,compound oxycodone
oxycodone terephthalate,3,oxycodone terephthalate
oxycodone hydrochloride hydrate,3,oxycodone hydrochloride hydrate
oxymorphone hydrochloride,3,oxymorphone hydrochloride
tramadol hydrochloride,3,tramadol hydrochloride
butorphanol tartrate,3,butorphanol tartrate
codeine phosphate,3,codeine phosphate
codeine polistirex,3,codeine polistirex
codeine sulfate,3,codeine sulfate
codeine hydrochloride,3,codeine hydrochloride
pethidine,3,pethidine
meperidine hydrochloride,3,meperidine hydrochloride
nalbuphine hydrochloride,3,nalbuphine hydrochloride
pentazocine lactate,3,pentazocine lactate
pentazocine hydrochloride,3,pentazocine hydrochloride
tapentadol hydrochloride,3,tapentadol hydrochloride
lidocaine hydrochloride,3,lidocaine hydrochloride
lidocaine hydrochloride monohydrate,3,lidocaine hydrochloride monohydrate
lidocaine - prilocaine mixt,3,lidocaine - prilocaine mixt
acamprosate calcium,3,acamprosate calcium
naltrexone hydrochloride,3,naltrexone hydrochloride
